STORE_ID,LONGITUDE,LATITUDE,WEEK,MONTH,YEAR,GPS ENPLANEMENTS,TRUE MONTHLY ENPLANED,WEEKLY ENPLANEMENTS,WEEKLY ADJUSTMENT
GTF,-111.370343247158,47.4806987563973,1,1,2019,4892.88,58034000,11231295,21.09
GTR,-88.5897560522641,33.4505354162529,1,1,2019,1075.59,58034000,11231295,21.09
GUC,-106.93092251931,38.5343701499937,1,1,2019,1919.19,58034000,11231295,21.09
HDN,-107.216650549142,40.4814284754926,1,1,2019,4787.43,58034000,11231295,21.09
HGR,-77.7273673103784,39.7070615091855,1,1,2019,759.24,58034000,11231295,21.09
HIB,-92.8390047385595,47.3872701814527,1,1,2019,632.7,58034000,11231295,21.09
HLN,-111.989102569313,46.6061373406627,1,1,2019,2383.17,58034000,11231295,21.09
HNL,-157.932384931191,21.3229685442547,1,1,2019,118104,58034000,11231295,21.09
HOB,-103.215150703841,32.6898465344606,1,1,2019,1075.59,58034000,11231295,21.09
HOM,-151.485359432552,59.6418229406505,1,1,2019,590.52,58034000,11231295,21.09
HOU,-95.2806922376869,29.6456514254163,1,1,2019,159735.66,58034000,11231295,21.09
HPN,-73.7077168461831,41.067456023866,1,1,2019,15564.42,58034000,11231295,21.09
HRL,-97.6537742710353,26.2266552640972,1,1,2019,9026.52,58034000,11231295,21.09
HSV,-86.776445917531,34.638252308063,1,1,2019,13244.52,58034000,11231295,21.09
HTS,-82.5591862962303,38.3686936859496,1,1,2019,1855.92,58034000,11231295,21.09
HVN,-72.8864536689653,41.265153502575,1,1,2019,1581.75,58034000,11231295,21.09
HXD,-80.6969099329562,32.2249355626426,1,1,2019,1666.11,58034000,11231295,21.09
HYA,-70.281181973229,41.6684961279039,1,1,2019,1244.31,58034000,11231295,21.09
HYS,-99.2727487662594,38.8404511289057,1,1,2019,927.96,58034000,11231295,21.09
IAD,-77.4594548735854,38.944922724161,1,1,2019,198731.07,58034000,11231295,21.09
IAG,-78.9496920852881,43.1105595797109,1,1,2019,8752.35,58034000,11231295,21.09
IAH,-95.3326500603349,29.9795798220453,1,1,2019,322466.1,58034000,11231295,21.09
ICT,-97.4274972928485,37.6501764329598,1,1,2019,21406.35,58034000,11231295,21.09
IDA,-112.070500027041,43.5128495968131,1,1,2019,3564.21,58034000,11231295,21.09
IFP,-114.558363104806,35.1564383644215,1,1,2019,1307.58,58034000,11231295,21.09
ILM,-77.9032418437961,34.2711444724077,1,1,2019,9680.31,58034000,11231295,21.09
IMT,-88.1131821969452,45.8187355279511,1,1,2019,337.44,58034000,11231295,21.09
IND,-86.3131368703166,39.7109634128756,1,1,2019,185802.9,58034000,11231295,21.09
INL,-93.4007503082739,48.5650959397788,1,1,2019,253.08,58034000,11231295,21.09
IPT,-76.9258074230214,41.2424451641879,1,1,2019,463.98,58034000,11231295,21.09
ISP,-73.1003418793366,40.7941716293046,1,1,2019,10945.71,58034000,11231295,21.09
ITH,-76.4599311858789,42.4905675040295,1,1,2019,3226.77,58034000,11231295,21.09
ITO,-155.048277559604,19.7179215750961,1,1,2019,9722.49,58034000,11231295,21.09
IWA,-111.657123120953,33.3060587790502,1,1,2019,21364.17,58034000,11231295,21.09
JAC,-110.738253260868,43.6063112944983,1,1,2019,6769.89,58034000,11231295,21.09
JAN,-90.0765233879013,32.3114347325893,1,1,2019,10566.09,58034000,11231295,21.09
JAX,-81.6855103393734,30.4932428071895,1,1,2019,61983.51,58034000,11231295,21.09
JFK,-73.7865919587574,40.6466599754308,1,1,2019,220116.33,58034000,11231295,21.09
JLN,-94.49854594811,37.1543934750494,1,1,2019,927.96,58034000,11231295,21.09
JMS,-98.6781639604844,46.9278962266751,1,1,2019,864.69,58034000,11231295,21.09
JNU,-134.577470100012,58.3569772204984,1,1,2019,2847.15,58034000,11231295,21.09
JQF,-80.7088923540963,35.3879754430793,1,1,2019,17715.6,58034000,11231295,21.09
KOA,-156.044373945477,19.7386710600121,1,1,2019,949.05,58034000,11231295,21.09
KSM,-163.299331196251,62.0596788218851,1,1,2019,42.18,58034000,11231295,21.09
KTN,-131.708806810686,55.3537641528267,1,1,2019,843.6,58034000,11231295,21.09
LAN,-84.5851225409941,42.7769487611925,1,1,2019,6769.89,58034000,11231295,21.09
LAR,-105.673820074899,41.3141562745986,1,1,2019,231.99,58034000,11231295,21.09
LAS,-115.149555483505,36.0836789888298,1,1,2019,351612.48,58034000,11231295,21.09
LAW,-98.41531124636,34.5722362097175,1,1,2019,1075.59,58034000,11231295,21.09
LAX,-118.397736956733,33.9412857127074,1,1,2019,635652.6,58034000,11231295,21.09
LBB,-101.819145631366,33.6568875930265,1,1,2019,9891.21,58034000,11231295,21.09
LBE,-79.4078160116754,40.2729585387887,1,1,2019,3100.23,58034000,11231295,21.09
LBF,-100.686502905836,41.1260364581599,1,1,2019,590.52,58034000,11231295,21.09
LCH,-93.2204153162494,30.1240839964153,1,1,2019,1708.29,58034000,11231295,21.09
LCK,-82.9332756384617,39.8141615320158,1,1,2019,8836.71,58034000,11231295,21.09
LEB,-72.3057411052238,43.6235831647448,1,1,2019,885.78,58034000,11231295,21.09
LEX,-84.6067908242573,38.0359031586204,1,1,2019,11704.95,58034000,11231295,21.09
LFT,-91.9901823107849,30.2048216463661,1,1,2019,5905.2,58034000,11231295,21.09
LGA,-73.8734206763609,40.7747615484036,1,1,2019,174730.65,58034000,11231295,21.09
LGB,-118.151214488165,33.8192954010329,1,1,2019,95263.53,58034000,11231295,21.09
LIH,-159.342130198247,21.9773523896093,1,1,2019,20689.29,58034000,11231295,21.09
LIT,-92.2251876365775,34.7297162165039,1,1,2019,21469.62,58034000,11231295,21.09
LNK,-96.7582635294075,40.8494546965994,1,1,2019,7444.77,58034000,11231295,21.09
LNY,-156.95186269926,20.7863432246229,1,1,2019,485.07,58034000,11231295,21.09
LRD,-99.463112608158,27.5482846946993,1,1,2019,30538.32,58034000,11231295,21.09
LSE,-91.2579413884833,43.8785661315649,1,1,2019,2319.9,58034000,11231295,21.09
LWB,-80.4012367354219,37.8583542228785,1,1,2019,632.7,58034000,11231295,21.09
